Rule_Obj,Rule_Score
"[['ph-karno', 'sex'], [[60.0, 90.0], ['1']]]",0.9328009013045483
"[['age', 'pat-karno'], [[47, 82], [50.0, 80.0]]]",0.9288194715555849
"[['pat-karno', 'sex'], [[30.0, 90.0], ['1']]]",0.9234290479786017
"[['ph-ecog', 'sex'], [['1.0', '2.0', '3.0'], ['1']]]",0.9191819836782164
"[['ph-karno', 'pat-karno', 'ph-ecog'], [[60.0, 80.0], [50.0, 100.0], ['2.0', '0.0', '3.0', '1.0']]]",0.9184484617248629
"[['ph-karno', 'ph-ecog'], [[60.0, 90.0], ['2.0', '1.0', '3.0']]]",0.9156478603496091
"[['sex', 'pat-karno', 'ph-karno'], [['1', '2'], [50.0, 80.0], [50.0, 100.0]]]",0.913085116583696
"[['pat-karno'], [[30.0, 70.0]]]",0.8988741794176537
"[['ph-ecog', 'pat-karno'], [['2.0', '0.0', '3.0', '1.0'], [30.0, 70.0]]]",0.8988741794176537
"[['sex'], [['2']]]",0.8961060135679206
