Rule_Obj,Rule_Score
"[['sex', 'ph-karno'], [['1'], [60.0, 90.0]]]",0.9328009013045483
"[['ph-ecog', 'ph-karno', 'sex'], [['2.0', '3.0', '0.0', '1.0'], [60.0, 90.0], ['1']]]",0.9328009013045483
"[['sex', 'ph-ecog'], [['1'], ['2.0', '3.0', '1.0']]]",0.9191819836782164
"[['ph-karno', 'ph-ecog'], [[60.0, 80.0], ['2.0', '3.0', '1.0']]]",0.9156478603496091
"[['ph-karno'], [[60.0, 80.0]]]",0.9138300735964792
"[['ph-ecog', 'age'], [['1.0', '0.0', '3.0'], [57, 74]]]",0.9054037156980751
"[['sex'], [['2']]]",0.8961060135679206
"[['pat-karno'], [[40.0, 70.0]]]",0.8950192810065183
"[['age', 'ph-ecog', 'ph-karno'], [[66, 77], ['1.0', '0.0', '3.0', '2.0'], [50.0, 90.0]]]",0.8912858422680308
"[['age'], [[65, 82]]]",0.8911439215869417
