Rule_Obj,Rule_Score
"[['age'], [[70, 92]]]",0.9418529937751725
"[['hgb'], [[12.899999618530273, 15.800000190734863]]]",0.9418529937751692
"[['pstat', 'age'], [['0', '1'], [65, 82]]]",0.9418457635713529
"[['age', 'sex'], [[69, 86], ['F', 'M']]]",0.941339161092642
"[['age', 'sex', 'pstat'], [[69, 86], ['M', 'F'], ['1', '0']]]",0.941339161092642
"[['hgb', 'pstat'], [[12.100000381469727, 14.899999618530273], ['0', '1']]]",0.9412920966792199
"[['hgb', 'pstat', 'sex'], [[12.100000381469727, 14.899999618530273], ['0', '1'], ['M', 'F']]]",0.9412920966792199
"[['hgb', 'sex'], [[12.100000381469727, 14.899999618530273], ['M', 'F']]]",0.9412920966792199
"[['ptime'], [[71, 294]]]",0.9410812951170385
"[['creat'], [[0.800000011920929, 1.2000000476837158]]]",0.9380691596488027
