Rule_Obj,Rule_Score
"[['age'], [[70, 93]]]",0.9418529937751725
"[['pstat', 'age'], [['1', '0'], [70, 93]]]",0.9418529937751725
"[['age', 'sex'], [[71, 92], ['M', 'F']]]",0.9418529937751725
"[['hgb'], [[12.800000190734863, 15.800000190734863]]]",0.9418529937751692
"[['hgb', 'sex'], [[12.800000190734863, 15.800000190734863], ['M', 'F']]]",0.9418529937751692
"[['hgb', 'pstat'], [[12.800000190734863, 15.800000190734863], ['1', '0']]]",0.9418529937751692
"[['hgb', 'sex', 'pstat'], [[12.800000190734863, 15.800000190734863], ['M', 'F'], ['1', '0']]]",0.9418529937751692
"[['sex', 'age', 'pstat'], [['F', 'M'], [64, 82], ['0', '1']]]",0.9418457635713529
"[['ptime'], [[49, 173]]]",0.9413391532432759
"[['age', 'ptime'], [[55, 81], [1, 153]]]",0.9410812951170385
