Rule_Obj,Rule_Score
"[['cell-type', 'pt'], [['small', 'adeno'], ['no', 'yes']]]",0.9415291077006068
"[['cell-type'], [['adeno', 'small']]]",0.9415291077006068
"[['cell-type', 'treat'], [['small', 'adeno'], ['test', 'standard']]]",0.9415291077006068
"[['cell-type', 'pt', 'treat'], [['adeno', 'small'], ['yes', 'no'], ['standard', 'test']]]",0.9415291077006068
"[['karno'], [[20, 60]]]",0.9354767255672446
"[['karno', 'cell-type'], [[20, 60], ['small', 'adeno', 'aquamous', 'large']]]",0.9354767255672446
"[['cell-type', 'age'], [['small', 'large', 'aquamous'], [47, 67]]]",0.918628112595883
"[['karno', 'pt', 'cell-type'], [[60, 99], ['no', 'yes'], ['adeno', 'small', 'large', 'aquamous']]]",0.9176304427273186
"[['treat', 'karno'], [['standard', 'test'], [60, 99]]]",0.9176304427273186
"[['pt', 'karno'], [['no', 'yes'], [60, 99]]]",0.9176304427273186
