Rule_Obj,Rule_Score
"[['X203306_s_at', 'X209524_at'], [[8.5290478, 10.17817314], [8.025397983, 10.5393706]]]",0.9411751209423653
"[['er', 'X209524_at', 'X203306_s_at', 'X200726_at'], [['positive', 'negative'], [8.682995862, 10.78667267], [8.567415369, 10.20806239], [11.02793745, 12.53995663]]]",0.9411408492358291
"[['er', 'X209524_at', 'X203306_s_at'], [['negative', 'positive'], [8.682995862, 10.78667267], [8.731544089, 10.20806239]]]",0.9411408492358291
"[['X203306_s_at', 'X202239_at'], [[8.731544089, 10.20806239], [9.073227429, 10.50085319]]]",0.9410809117427394
"[['X203306_s_at'], [[8.964103928, 10.09142965]]]",0.940351741539857
"[['X219588_s_at', 'X203306_s_at'], [[7.829591103, 9.586737641], [8.731544089, 10.20806239]]]",0.9403013993471564
"[['X203306_s_at', 'X217815_at'], [[8.731544089, 10.20806239], [10.24752013, 11.39404056]]]",0.9402911475264263
"[['X203306_s_at', 'X211762_s_at'], [[8.923301085, 10.35492271], [10.38204163, 12.4745226]]]",0.9402604327993552
"[['er', 'X203306_s_at'], [['positive', 'negative'], [8.5290478, 10.01935793]]]",0.9400400844874462
"[['X212567_s_at', 'X203306_s_at'], [[8.135060527, 9.297494516], [8.5290478, 10.20806239]]]",0.9396068674233192
