Rule_Obj,Rule_Score
"[['X202240_at'], [[7.053795841, 8.650810077]]]",0.9411825792624059
"[['X211762_s_at'], [[10.80766574, 12.67325649]]]",0.940734574463787
"[['X202239_at', 'X203306_s_at'], [[9.120109561, 10.51315801], [9.09361546, 10.23596939]]]",0.9406978694097129
"[['X202418_at'], [[10.18380248, 10.90874492]]]",0.9405559394505068
"[['X203306_s_at'], [[8.964103928, 10.09142965]]]",0.940351741539857
"[['X202418_at', 'X200726_at'], [[10.00439958, 10.86286594], [10.58986507, 12.53995663]]]",0.9401947607581987
"[['X202418_at', 'er'], [[9.721139507, 10.80331034], ['positive', 'negative']]]",0.9401008078403592
"[['X201068_s_at', 'X202418_at'], [[10.67857192, 12.99806894], [9.721139507, 10.80331034]]]",0.9401008078403592
"[['X219724_s_at', 'X202418_at'], [[5.685713221, 8.111230549], [10.05533597, 10.93719074]]]",0.9389789192973383
"[['X202418_at', 'er', 'X200726_at'], [[10.14898461, 10.88255882], ['positive', 'negative'], [11.10707285, 12.53995663]]]",0.937276675620785
