Rule_Obj,Rule_Score
"[['X202240_at', 'X217815_at'], [[7.115667548, 10.66137935], [10.00790429, 11.16130702]]]",0.9411499226897889
"[['X202240_at'], [[7.197013094, 9.137140139]]]",0.9409995857363551
"[['X201663_s_at', 'X217815_at'], [[9.117460232, 11.65086255], [10.00790429, 11.35784368]]]",0.9408823303776731
"[['X211762_s_at'], [[10.80766574, 12.58173585]]]",0.940734574463787
"[['X202418_at'], [[10.04483864, 10.86286594]]]",0.9401947607581987
"[['X217815_at', 'X202418_at'], [[9.755083586, 11.63708903], [10.00439958, 10.86518906]]]",0.9401947607581987
"[['X203306_s_at'], [[8.5290478, 10.01935793]]]",0.9400400844874462
"[['X218478_s_at', 'X202418_at'], [[8.873016314, 10.90474401], [9.941327857, 10.86190423]]]",0.9399942536081327
"[['X201091_s_at', 'X202418_at'], [[9.116803589, 10.96881072], [9.920189318, 10.86518906]]]",0.9379587471424018
"[['X218430_s_at', 'X202240_at'], [[5.975299581, 7.501057539], [7.149364612, 10.66137935]]]",0.9375418418587577
