Rule_Obj,Rule_Score
"[['X202240_at'], [[7.053795841, 8.650810077]]]",0.9411825792624059
"[['X202240_at', 'er', 'X208683_at'], [[7.382918378, 9.44239156], ['negative', 'positive'], [10.07663359, 13.83904004]]]",0.9411555201287148
"[['X202418_at', 'X211779_x_at'], [[9.844612658, 10.86650006], [9.563123802, 10.95171503]]]",0.9409296580831662
"[['X202418_at', 'X211779_x_at', 'X208683_at'], [[9.958269259, 10.88853707], [9.710206108, 10.849996], [10.51131907, 13.83904004]]]",0.9408970933683802
"[['X202418_at', 'X208683_at'], [[10.04483864, 10.88255882], [11.53197222, 13.83904004]]]",0.9408734543300189
"[['grade', 'X202240_at'], [['intermediate', 'poorly-differentiated', 'unkown'], [7.115667548, 9.120029647]]]",0.9408321390508192
"[['X202418_at', 'X211779_x_at', 'er'], [[10.13529875, 10.92775102], [9.563123802, 10.95171503], ['negative', 'positive']]]",0.9406618223374993
"[['X202418_at', 'X209500_x_at'], [[10.04483864, 10.88853707], [8.789369704, 10.90223601]]]",0.940241336248048
"[['X202418_at'], [[10.05533597, 10.86518906]]]",0.9401947607581987
"[['X202418_at', 'er'], [[9.721139507, 10.80331034], ['positive', 'negative']]]",0.9401008078403592
