Rule_Obj,Rule_Score
"[['sex', 'ph-ecog'], [['1'], ['2.0', '1.0', '3.0']]]",0.9191819836782164
"[['ph-karno', 'ph-ecog'], [[60.0, 80.0], ['3.0', '1.0', '2.0']]]",0.9156478603496091
"[['age', 'pat-karno'], [[56, 71], [60.0, 100.0]]]",0.9067858756664902
"[['sex', 'pat-karno', 'ph-ecog'], [['1'], [40.0, 100.0], ['1.0', '2.0', '3.0', '0.0']]]",0.904671728830163
"[['ph-ecog', 'age'], [['2.0', '1.0', '3.0'], [59, 76]]]",0.8998264407053704
"[['pat-karno'], [[30.0, 80.0]]]",0.8988741794176537
"[['pat-karno', 'sex'], [[30.0, 70.0], ['1', '2']]]",0.8988741794176537
"[['age', 'sex'], [[61, 82], ['1']]]",0.8987659990578546
"[['ph-ecog', 'sex', 'age'], [['2.0', '3.0', '1.0', '0.0'], ['1'], [61, 82]]]",0.8987659990578546
"[['sex'], [['2']]]",0.8961060135679206
