Rule_Obj,Rule_Score
"[['ph-ecog', 'sex'], [['1.0', '3.0', '2.0'], ['1']]]",0.9191819836782164
"[['sex', 'ph-ecog', 'age'], [['1'], ['0.0', '2.0', '3.0', '1.0'], [54, 82]]]",0.9190864297524745
"[['ph-karno'], [[60.0, 80.0]]]",0.9138300735964792
"[['pat-karno'], [[30.0, 80.0]]]",0.8988741794176537
"[['age', 'sex'], [[60, 82], ['1']]]",0.8987659990578546
"[['sex'], [['2']]]",0.8961060135679206
"[['ph-ecog', 'pat-karno'], [['3.0', '1.0', '0.0', '2.0'], [40.0, 70.0]]]",0.8950192810065183
"[['age'], [[65, 82]]]",0.8911439215869417
"[['ph-ecog', 'age'], [['2.0', '1.0', '0.0', '3.0'], [64, 82]]]",0.8911439215869417
"[['sex', 'pat-karno', 'ph-ecog'], [['2'], [80.0, 100.0], ['1.0', '0.0', '2.0', '3.0']]]",0.8752902813959732
