Rule_Obj,Rule_Score
"[['sex', 'ph-ecog'], [['1'], ['2.0', '3.0', '1.0']]]",0.9191819836782164
"[['ph-karno'], [[60.0, 80.0]]]",0.9138300735964792
"[['ph-ecog', 'ph-karno'], [['1.0', '2.0', '3.0', '0.0'], [60.0, 80.0]]]",0.9138300735964792
"[['pat-karno'], [[30.0, 80.0]]]",0.8988741794176537
"[['pat-karno', 'ph-ecog'], [[30.0, 70.0], ['3.0', '1.0', '0.0', '2.0']]]",0.8988741794176537
"[['sex'], [['2']]]",0.8961060135679206
"[['ph-ecog', 'age'], [['3.0', '2.0', '1.0'], [54, 73]]]",0.8950323077298178
"[['pat-karno', 'sex'], [[40.0, 70.0], ['2', '1']]]",0.8950192810065183
"[['age', 'sex'], [[64, 82], ['1', '2']]]",0.8911439215869417
"[['age'], [[64, 82]]]",0.8911439215869417
