Rule_Obj,Rule_Score
"[['stage-4', 'stage-1'], [['0', '1'], ['3.0']]]",0.941814421904767
"[['stage-2', 'stage-1'], [['2', '3'], ['1.0', '3.0']]]",0.9416331468180791
"[['stage-2', 'stage-3'], [['2', '1', '3'], ['2', '.', '1']]]",0.9414515571097286
"[['detec'], [['3', '0']]]",0.9408511203321586
"[['group', 'detec'], [['0', '1'], ['3', '0']]]",0.9408511203321586
"[['op', 'detec'], [['1', '0'], ['3', '0']]]",0.9408511203321586
"[['detec', 'stage-4'], [['3', '0'], ['0', '.', '1']]]",0.9408511203321586
"[['detec', 'stage-1'], [['3', '0'], ['3.0', '1.0', '2.0']]]",0.9408511203321586
"[['op', 'stage-3', 'stage-4'], [['0', '1'], ['0', '.', '1'], ['0', '.']]]",0.9398028989584154
"[['stage-4', 'stage-3'], [['0', '.'], ['0', '.', '1']]]",0.9398028989584154
