Rule_Obj,Rule_Score
"[['age'], [[70, 92]]]",0.9418529937751725
"[['pstat', 'age'], [['1', '0'], [70, 92]]]",0.9418529937751725
"[['hgb'], [[12.800000190734863, 15.899999618530273]]]",0.9418529937751692
"[['hgb', 'pstat'], [[13.0, 16.5], ['0']]]",0.9417247719879837
"[['hgb', 'sex'], [[13.199999809265137, 16.700000762939453], ['M', 'F']]]",0.9414678560555565
"[['hgb', 'pstat', 'sex'], [[12.699999809265137, 15.899999618530273], ['0'], ['M', 'F']]]",0.941339161092641
"[['sex', 'age'], [['F', 'M'], [65, 83]]]",0.9412102604974691
"[['hgb', 'age'], [[11.5, 16.299999237060547], [66, 89]]]",0.940693299488795
"[['pstat', 'sex'], [['0', '1'], ['M']]]",0.9356047191378228
"[['sex'], [['M']]]",0.9356047191378228
