Rule_Obj,Rule_Score
"[['sex', 'hgb'], [['M', 'F'], [13.300000190734863, 17.399999618530273]]]",0.9418529937751725
"[['hgb'], [[12.899999618530273, 15.800000190734863]]]",0.9418529937751692
"[['age'], [[64, 82]]]",0.9418457635713529
"[['pstat', 'hgb'], [['0'], [12.600000381469727, 15.800000190734863]]]",0.941339161092641
"[['pstat', 'hgb', 'sex'], [['0'], [12.600000381469727, 15.800000190734863], ['F', 'M']]]",0.941339161092641
"[['sex', 'age'], [['F', 'M'], [70, 88]]]",0.9397823357009125
"[['creat'], [[0.800000011920929, 1.100000023841858]]]",0.9380691596488027
"[['sex'], [['M']]]",0.9356047191378228
"[['sex', 'pstat'], [['M'], ['0', '1']]]",0.9356047191378228
"[['age', 'pstat'], [[66, 80], ['1', '0']]]",0.9322936413034182
