Rule_Obj,Rule_Score
"[['pstat', 'hgb'], [['0'], [12.899999618530273, 16.600000381469727]]]",0.9418529937751725
"[['hgb', 'sex'], [[13.199999809265137, 17.399999618530273], ['F', 'M']]]",0.9418529937751725
"[['hgb', 'sex', 'pstat'], [[13.199999809265137, 17.399999618530273], ['F', 'M'], ['0', '1']]]",0.9418529937751725
"[['hgb'], [[12.800000190734863, 15.899999618530273]]]",0.9418529937751692
"[['age'], [[65, 82]]]",0.9418457635713529
"[['pstat', 'age'], [['0', '1'], [57, 77]]]",0.9417241446549419
"[['age', 'hgb'], [[60, 96], [10.100000381469727, 14.600000381469727]]]",0.9413391610804528
"[['creat'], [[0.800000011920929, 1.100000023841858]]]",0.9380691596488027
"[['sex'], [['M']]]",0.9356047191378228
"[['sex', 'pstat'], [['M'], ['0', '1']]]",0.9356047191378228
