Rule_Obj,Rule_Score
"[['age'], [[70, 93]]]",0.9418529937751725
"[['hgb'], [[12.899999618530273, 15.800000190734863]]]",0.9418529937751692
"[['pstat', 'hgb'], [['0', '1'], [12.800000190734863, 15.899999618530273]]]",0.9418529937751692
"[['pstat', 'age'], [['0'], [67, 88]]]",0.9414678560555565
"[['pstat', 'age', 'sex'], [['0'], [67, 88], ['F', 'M']]]",0.9414678560555565
"[['age', 'hgb'], [[64, 91], [9.199999809265137, 14.800000190734863]]]",0.941339161092642
"[['hgb', 'age', 'pstat'], [[9.800000190734863, 15.800000190734863], [69, 94], ['0', '1']]]",0.941339161092642
"[['sex', 'hgb'], [['F', 'M'], [12.199999809265137, 15.0]]]",0.9412920966792199
"[['pstat', 'hgb', 'sex'], [['0', '1'], [12.199999809265137, 15.0], ['M', 'F']]]",0.9412920966792199
"[['sex', 'age'], [['F', 'M'], [69, 87]]]",0.9397823357009125
