Dataset,Execucao,exceptionality,#sg,length,sgCov,setCov,description redundancy,coverage redundancy,CR,model redundancy
carcinoma,0,1.0,10.0,2.4,0.53,0.98,0.16,0.6,0.48,0.58
carcinoma,1,1.0,10.0,2.3,0.54,0.86,0.35,0.78,0.5,1.0
carcinoma,2,1.0,10.0,2.4,0.53,0.99,0.11,0.59,0.48,0.58
carcinoma,3,1.0,10.0,2.5,0.54,0.99,0.23,0.62,0.49,0.64
carcinoma,4,1.0,10.0,2.3,0.54,0.86,0.21,0.71,0.51,1.0
carcinoma,5,1.0,10.0,2.5,0.53,0.98,0.21,0.66,0.48,0.73
carcinoma,6,1.0,10.0,2.2,0.53,0.86,0.33,0.77,0.5,0.96
carcinoma,7,1.0,10.0,2.4,0.53,0.98,0.2,0.63,0.48,0.71
carcinoma,8,1.0,10.0,2.4,0.53,0.87,0.3,0.71,0.49,0.93
carcinoma,9,1.0,10.0,2.3,0.54,0.8,0.46,0.83,0.51,1.0
carcinoma,10,1.0,10.0,2.5,0.53,0.98,0.14,0.64,0.48,0.71
carcinoma,11,1.0,10.0,2.4,0.54,0.97,0.35,0.73,0.49,0.8
carcinoma,12,1.0,10.0,2.6,0.53,0.84,0.26,0.72,0.5,0.93
carcinoma,13,1.0,10.0,2.1,0.53,0.84,0.34,0.78,0.5,0.96
carcinoma,14,1.0,10.0,2.1,0.53,0.86,0.2,0.69,0.49,0.91
carcinoma,15,1.0,10.0,2.3,0.53,0.86,0.25,0.7,0.5,0.91
carcinoma,16,1.0,10.0,2.3,0.54,0.98,0.36,0.72,0.49,0.8
carcinoma,17,1.0,10.0,2.2,0.53,0.86,0.25,0.72,0.49,0.93
carcinoma,18,1.0,10.0,2.3,0.54,0.8,0.48,0.83,0.51,1.0
carcinoma,19,1.0,10.0,2.2,0.53,0.86,0.26,0.72,0.5,0.96
carcinoma,20,1.0,10.0,2.2,0.53,0.84,0.36,0.78,0.5,0.96
carcinoma,21,1.0,10.0,2.5,0.54,0.8,0.54,0.83,0.51,1.0
carcinoma,22,1.0,10.0,2.2,0.53,0.84,0.42,0.84,0.5,0.98
carcinoma,23,1.0,10.0,2.3,0.54,0.86,0.34,0.76,0.5,1.0
carcinoma,24,1.0,10.0,2.5,0.54,0.98,0.29,0.66,0.49,0.64
carcinoma,25,1.0,10.0,2.3,0.54,0.8,0.37,0.78,0.51,1.0
carcinoma,26,1.0,10.0,2.4,0.54,0.86,0.3,0.72,0.5,1.0
carcinoma,27,1.0,10.0,2.3,0.54,0.98,0.36,0.75,0.49,0.8
carcinoma,28,1.0,10.0,2.4,0.54,0.86,0.34,0.76,0.5,1.0
carcinoma,29,1.0,10.0,2.5,0.54,0.8,0.36,0.74,0.51,1.0
breast-cancer,0,1.0,10.0,2.1,0.55,0.86,0.11,0.78,0.52,0.98
breast-cancer,1,1.0,10.0,2.2,0.55,0.97,0.0,0.67,0.5,0.53
breast-cancer,2,1.0,10.0,2.1,0.55,0.99,0.08,0.59,0.5,0.47
breast-cancer,3,1.0,10.0,2.0,0.55,0.98,0.04,0.75,0.5,0.8
breast-cancer,4,1.0,10.0,1.9,0.55,0.99,0.06,0.61,0.5,0.47
breast-cancer,5,1.0,10.0,1.8,0.55,0.94,0.03,0.66,0.51,0.44
breast-cancer,6,1.0,10.0,2.2,0.55,0.89,0.11,0.85,0.52,0.64
breast-cancer,7,1.0,10.0,1.8,0.55,0.96,0.01,0.66,0.51,0.8
breast-cancer,8,1.0,10.0,1.9,0.55,0.77,0.03,0.86,0.53,0.91
breast-cancer,9,1.0,10.0,1.9,0.55,0.95,0.05,0.67,0.51,0.53
breast-cancer,10,1.0,10.0,1.8,0.54,0.96,0.07,0.69,0.5,0.53
