Rule_Obj,Rule_Score
"[['treat', 'cell-type'], [['test', 'standard'], ['small', 'adeno']]]",0.9415291077006068
"[['cell-type'], [['adeno', 'small']]]",0.9415291077006068
"[['pt', 'cell-type', 'treat'], [['yes', 'no'], ['small', 'adeno'], ['standard', 'test']]]",0.9415291077006068
"[['cell-type', 'pt'], [['small', 'adeno'], ['no', 'yes']]]",0.9415291077006068
"[['karno'], [[20, 60]]]",0.9354767255672446
"[['cell-type', 'karno'], [['aquamous', 'small', 'adeno', 'large'], [30, 60]]]",0.9354767255672446
"[['pt', 'karno'], [['yes', 'no'], [30, 60]]]",0.9354767255672446
"[['age'], [[44, 65]]]",0.9259397946837865
"[['cell-type', 'age'], [['small', 'adeno', 'aquamous'], [59, 72]]]",0.9236719431006681
"[['pt', 'age', 'karno'], [['no', 'yes'], [59, 69], [10, 75]]]",0.9086620104775485
