Dataset,Métrica,Média Alg1,Desvio Padrão Alg1,Mediana Alg1,Média Alg2,Desvio Padrão Alg2,Mediana Alg2,p-value,Resultado
carcinoma,exceptionality,1.0,0.0,1.0,1.0,0.0,1.0,1.0,empate
carcinoma,length,2.3433333333333333,0.1256538454998051,2.3,1.1448809523809524,0.2043954708485522,1.0,1.0,empate
carcinoma,sgCov,0.5349999999999999,0.0050000000000000044,0.535,0.40171745209309967,0.06454302611613949,0.3886010362694301,1.0,empate
carcinoma,description redundancy,0.3043333333333333,0.0983423724659021,0.315,0.0011904761904761867,0.004454354031873726,0.0,1.0,empate
breast-cancer,exceptionality,1.0,0.0,1.0,1.0,0.0,1.0,1.0,empate
breast-cancer,length,2.006666666666667,0.23084386257574382,2.0,1.655588023088023,0.32569844679624516,1.6666666666666667,1.0,empate
breast-cancer,sgCov,0.5493333333333335,0.002494438257849297,0.55,0.308932663613786,0.07517096308082898,0.29648526077097503,1.0,empate
breast-cancer,description redundancy,0.044666666666666674,0.035093525835338285,0.035,0.004152637485970807,0.007466645761201212,0.0,1.0,empate
cancer,exceptionality,0.83,0.11000000000000003,0.8,1.0,0.0,1.0,1.0,empate
cancer,length,1.9033333333333333,0.21210584359910706,1.9,1.2481746031746035,0.18788383069662648,1.225,1.0,empate
cancer,sgCov,0.4926666666666667,0.03723200534784853,0.49,0.30564318783068783,0.03288915087688855,0.30297619047619045,1.0,empate
cancer,description redundancy,0.09933333333333332,0.046828291543562515,0.09,0.10757936507936505,0.10314795901387307,0.1,1.0,empate
lung,exceptionality,1.0,0.0,1.0,1.0,0.0,1.0,1.0,empate
lung,length,2.685,0.34536212878658246,2.75,1.1338095238095236,0.1090559364679959,1.1833333333333333,1.0,empate
lung,sgCov,0.5495000000000001,0.0021794494717703385,0.55,0.39482598699857296,0.06151823156172868,0.38042915279319267,1.0,empate
lung,description redundancy,0.12350000000000001,0.07411308926228888,0.11,0.0,0.0,0.0,1.0,empate
mgus2,exceptionality,1.0,0.0,1.0,1.0,0.0,1.0,1.0,empate
mgus2,length,1.8733333333333329,0.11527744310527055,1.9,1.1034126984126984,0.10712598338616318,1.125,1.0,empate
mgus2,sgCov,0.5666666666666667,0.010434983894998983,0.57,0.2639467518447339,0.03563157989271007,0.28257349277528654,1.0,empate
mgus2,description redundancy,0.16899999999999998,0.06252199612936234,0.16,0.0007936507936507933,0.00427394032312262,0.0,1.0,empate
